#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1           1           1           0
           2    0.999999           1 1.38989e-07
           3    0.999999    0.999999 1.43056e-07
           4    0.999999    0.999999 1.23216e-07
           5    0.999999    0.999999 9.88431e-08
           6           1    0.999999  9.6953e-08
           7           1           1 1.38245e-07
           8           1           1 2.09479e-07
           9           1           1 2.97319e-07
          10           1           1 3.96998e-07
          11           1           1  5.0654e-07
          12     1.00001           1  6.2502e-07
          13     1.00001           1 7.51506e-07
          14     1.00001           1 8.85514e-07
          15     1.00001           1  1.0266e-06
          16     1.00001           1 1.17419e-06
          17     1.00002           1 1.32801e-06
          18     1.00002     1.00001 1.48793e-06
          19     1.00002     1.00001 1.65377e-06
          20     1.00002     1.00001 1.82522e-06
          21     1.00003     1.00001 2.00204e-06
          22     1.00003     1.00001 2.18399e-06
          23     1.00004     1.00001 2.37091e-06
          24     1.00004     1.00001 2.56266e-06
          25     1.00004     1.00001 2.75917e-06
          26     1.00005     1.00001 2.96032e-06
          27     1.00005     1.00002 3.16599e-06
          28     1.00006     1.00002 3.37605e-06
          29     1.00006     1.00002 3.59041e-06
          30     1.00007     1.00002 3.80905e-06
          31     1.00007     1.00002 4.03199e-06
          32     1.00008     1.00002 4.25919e-06
          33     1.00008     1.00003 4.49057e-06
          34     1.00009     1.00003 4.72608e-06
          35     1.00009     1.00003 4.96568e-06
          36      1.0001     1.00003 5.20931e-06
          37     1.00011     1.00003  5.4569e-06
          38     1.00011     1.00004 5.70836e-06
          39     1.00012     1.00004 5.96363e-06
          40     1.00013     1.00004 6.22265e-06
          41     1.00013     1.00004 6.48538e-06
          42     1.00014     1.00004  6.7518e-06
          43     1.00015     1.00005 7.02187e-06
          44     1.00016     1.00005 7.29562e-06
          45     1.00016     1.00005 7.57309e-06
          46     1.00017     1.00005 7.85426e-06
          47     1.00018     1.00006 8.13912e-06
          48     1.00019     1.00006 8.42762e-06
          49      1.0002     1.00006 8.71971e-06
          50     1.00021     1.00007 9.01537e-06
          51     1.00022     1.00007 9.31458e-06
          52     1.00023     1.00007 9.61735e-06
          53     1.00024     1.00007 9.92368e-06
          54     1.00025     1.00008 1.02335e-05
          55     1.00026     1.00008 1.05469e-05
          56     1.00027     1.00008 1.08637e-05
          57     1.00028     1.00009  1.1184e-05
          58     1.00029     1.00009 1.15078e-05
          59      1.0003     1.00009  1.1835e-05
          60     1.00031      1.0001 1.21656e-05
          61     1.00032      1.0001 1.24995e-05
          62     1.00033     1.00011 1.28369e-05
          63     1.00034     1.00011 1.31776e-05
          64     1.00036     1.00011 1.35216e-05
          65     1.00037     1.00012  1.3869e-05
          66     1.00038     1.00012 1.42197e-05
          67     1.00039     1.00013 1.45737e-05
          68     1.00041     1.00013 1.49309e-05
          69     1.00042     1.00013 1.52915e-05
          70     1.00043     1.00014 1.56553e-05
          71     1.00045     1.00014 1.60223e-05
          72     1.00046     1.00015 1.63925e-05
          73     1.00047     1.00015  1.6766e-05
          74     1.00049     1.00016 1.71427e-05
          75      1.0005     1.00016 1.75226e-05
          76     1.00052     1.00016 1.79057e-05
          77     1.00053     1.00017  1.8292e-05
          78     1.00055     1.00017 1.86815e-05
          79     1.00056     1.00018 1.90742e-05
          80     1.00058     1.00018 1.94701e-05
          81     1.00059     1.00019 1.98692e-05
          82     1.00061     1.00019 2.02716e-05
          83     1.00062      1.0002 2.06771e-05
          84     1.00064      1.0002 2.10858e-05
          85     1.00066     1.00021 2.14977e-05
          86     1.00067     1.00022 2.19128e-05
          87     1.00069     1.00022 2.23311e-05
          88     1.00071     1.00023 2.27526e-05
          89     1.00073     1.00023 2.31772e-05
          90     1.00074     1.00024 2.36051e-05
          91     1.00076     1.00024 2.40361e-05
          92     1.00078     1.00025 2.44704e-05
          93      1.0008     1.00026 2.49079e-05
          94     1.00082     1.00026 2.53486e-05
          95     1.00084     1.00027 2.57925e-05
          96     1.00085     1.00027 2.62396e-05
          97     1.00087     1.00028   2.669e-05
          98     1.00089     1.00029 2.71436e-05
          99     1.00091     1.00029 2.76004e-05
         100     1.00093      1.0003 2.80604e-05
         101     1.00095     1.00031 2.85237e-05
         102     1.00097     1.00031 2.89903e-05
         103       1.001     1.00032 2.94601e-05
         104     1.00102     1.00032 2.99332e-05
         105     1.00104     1.00033 3.04096e-05
         106     1.00106     1.00034 3.08893e-05
         107     1.00108     1.00035 3.13724e-05
         108      1.0011     1.00035 3.18588e-05
         109     1.00113     1.00036 3.23485e-05
         110     1.00115     1.00037 3.28416e-05
         111     1.00117     1.00037  3.3338e-05
         112      1.0012     1.00038 3.38379e-05
         113     1.00122     1.00039 3.43412e-05
         114     1.00124      1.0004 3.48478e-05
         115     1.00127      1.0004  3.5358e-05
         116     1.00129     1.00041 3.58715e-05
         117     1.00132     1.00042 3.63886e-05
         118     1.00134     1.00043 3.69091e-05
         119     1.00137     1.00044 3.74331e-05
         120     1.00139     1.00044 3.79606e-05
         121     1.00142     1.00045 3.84917e-05
         122     1.00144     1.00046 3.90263e-05
         123     1.00147     1.00047 3.95644e-05
         124      1.0015     1.00048 4.01061e-05
         125     1.00152     1.00048 4.06514e-05
         126     1.00155     1.00049 4.12003e-05
         127     1.00158      1.0005 4.17528e-05
         128     1.00161     1.00051  4.2309e-05
         129     1.00163     1.00052 4.28689e-05
         130     1.00166     1.00053 4.34325e-05
         131     1.00169     1.00054 4.39998e-05
         132     1.00172     1.00055 4.45709e-05
         133     1.00175     1.00055 4.51457e-05
         134     1.00178     1.00056 4.57244e-05
         135     1.00181     1.00057 4.63069e-05
         136     1.00184     1.00058 4.68933e-05
         137     1.00187     1.00059 4.74835e-05
         138      1.0019      1.0006 4.80777e-05
         139     1.00193     1.00061 4.86759e-05
         140     1.00196     1.00062 4.92781e-05
         141       1.002     1.00063 4.98842e-05
         142     1.00203     1.00064 5.04945e-05
         143     1.00206     1.00065 5.11088e-05
         144     1.00209     1.00066 5.17272e-05
         145     1.00213     1.00067 5.23497e-05
         146     1.00216     1.00068 5.29764e-05
         147     1.00219     1.00069 5.36073e-05
         148     1.00223      1.0007 5.42424e-05
         149     1.00226     1.00071 5.48818e-05
         150      1.0023     1.00072 5.55255e-05
         151     1.00233     1.00073 5.61735e-05
         152     1.00237     1.00074 5.68259e-05
         153      1.0024     1.00075 5.74828e-05
         154     1.00244     1.00076  5.8144e-05
         155     1.00248     1.00078 5.88098e-05
         156     1.00251     1.00079 5.94801e-05
         157     1.00255      1.0008 6.01549e-05
         158     1.00259     1.00081 6.08344e-05
         159     1.00263     1.00082 6.15186e-05
         160     1.00267     1.00083 6.22074e-05
         161     1.00271     1.00084  6.2901e-05
         162     1.00275     1.00086 6.35994e-05
         163     1.00279     1.00087 6.43027e-05
         164     1.00283     1.00088 6.50109e-05
         165     1.00287     1.00089  6.5724e-05
         166     1.00291      1.0009  6.6442e-05
         167     1.00295     1.00092 6.71652e-05
         168     1.00299     1.00093 6.78934e-05
         169     1.00304     1.00094 6.86268e-05
         170     1.00308     1.00095 6.93653e-05
         171     1.00312     1.00097 7.01091e-05
         172     1.00317     1.00098 7.08582e-05
         173     1.00321     1.00099 7.16127e-05
         174     1.00326     1.00101 7.23725e-05
         175      1.0033     1.00102 7.31378e-05
         176     1.00335     1.00103 7.39087e-05
         177     1.00339     1.00104 7.46851e-05
         178     1.00344     1.00106 7.54672e-05
         179     1.00349     1.00107  7.6255e-05
