#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1        2.25        2.25           0
           2     2.24916     2.24958 0.000296453
           3     2.24665      2.2486  0.00082177
           4     2.24247     2.24707  0.00146348
           5     2.23664     2.24498  0.00220314
           6     2.22916     2.24235  0.00302791
           7     2.22005     2.23916  0.00392791
           8     2.20934     2.23543  0.00489614
           9     2.19702     2.23117  0.00592724
          10     2.18312     2.22636  0.00701651
          11     2.16765     2.22102  0.00816006
          12     2.15062     2.21516  0.00935434
          13     2.13205     2.20876   0.0105964
          14     2.11194     2.20185    0.011884
          15     2.09031     2.19441    0.013215
          16     2.06718     2.18646   0.0145868
          17     2.04257       2.178   0.0159971
          18      2.0165     2.16902   0.0174439
          19     1.98899     2.15955   0.0189252
          20     1.96008     2.14957   0.0204388
          21     1.92979     2.13911   0.0219823
          22     1.89818     2.12816   0.0235535
          23     1.86529     2.11673     0.02515
          24     1.83116     2.10483   0.0267691
          25     1.79587     2.09247   0.0284083
          26     1.75946     2.07966   0.0300647
          27     1.72201     2.06642   0.0317355
          28     1.68359     2.05274   0.0334177
          29      1.6443     2.03866   0.0351081
          30     1.60422     2.02418   0.0368035
          31     1.56344     2.00932   0.0385005
          32     1.52208     1.99409   0.0401955
          33     1.48025     1.97852    0.041885
          34     1.43806     1.96262   0.0435651
          35     1.39564     1.94642    0.045232
          36     1.35313     1.92994   0.0468819
          37     1.31066     1.91321   0.0485106
          38     1.26837     1.89624   0.0501142
          39     1.22642     1.87906   0.0516885
          40     1.18493     1.86171   0.0532296
          41     1.14407     1.84421   0.0547335
          42     1.10398     1.82658   0.0561963
          43      1.0648     1.80887   0.0576142
          44     1.02668     1.79109   0.0589836
          45    0.989749     1.77328   0.0603011
          46    0.954142     1.75547   0.0615634
          47    0.919977      1.7377   0.0627676
          48    0.887363     1.71998    0.063911
          49      0.8564     1.70236   0.0649913
          50    0.827176     1.68485   0.0660065
          51    0.799768      1.6675   0.0669548
          52    0.774239     1.65032   0.0678351
          53    0.750641     1.63335   0.0686463
          54    0.729008      1.6166   0.0693878
          55    0.709363      1.6001   0.0700594
          56    0.691714     1.58388   0.0706613
          57    0.676057     1.56796   0.0711939
          58    0.662376     1.55234   0.0716581
          59    0.650643     1.53706   0.0720549
          60     0.64082     1.52212   0.0723857
          61    0.632855     1.50754   0.0726522
          62    0.626691     1.49334   0.0728563
          63    0.622261     1.47951       0.073
          64     0.61949     1.46607   0.0730858
          65    0.618296     1.45303   0.0731159
          66    0.618592     1.44039    0.073093
          67    0.620287     1.42815   0.0730198
          68    0.623287     1.41631   0.0728989
          69    0.627495     1.40488   0.0727333
          70     0.63281     1.39385   0.0725257
          71    0.639135     1.38322    0.072279
          72     0.64637     1.37298    0.071996
          73    0.654415     1.36314   0.0716795
