#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -8.71252    -8.71252           0
           2    -8.71001    -8.71127 0.000888136
           3    -8.70584    -8.70946  0.00159295
           4        -8.7    -8.70709  0.00237067
           5    -8.69187    -8.70405  0.00331811
           6    -8.68082    -8.70018  0.00448688
           7    -8.66849    -8.69565  0.00568808
           8    -8.65326    -8.69035  0.00702402
           9     -8.6358    -8.68429  0.00846404
          10    -8.61612    -8.67747  0.00999273
          11    -8.59326    -8.66982   0.0116535
          12    -8.56984    -8.66149   0.0133322
          13    -8.54811    -8.65277   0.0148885
          14    -8.52065    -8.64333   0.0165478
          15    -8.49266    -8.63328   0.0182402
          16    -8.46384    -8.62269    0.019939
          17    -8.43647    -8.61174   0.0215662
          18    -8.40637    -8.60033   0.0231905
          19    -8.37551     -8.5885   0.0248056
          20    -8.34361    -8.57625   0.0264151
          21    -8.31005    -8.56358   0.0280342
          22    -8.27554    -8.55048   0.0296601
          23    -8.23947    -8.53696   0.0313016
          24     -8.2032    -8.52306   0.0329421
          25    -8.16419     -8.5087   0.0346109
          26    -8.12609    -8.49398   0.0362734
          27    -8.08638    -8.47889   0.0379416
          28    -8.04481    -8.46339   0.0396273
          29    -8.00181    -8.44747   0.0413339
          30    -7.96071    -8.43124   0.0430229
          31    -7.91902    -8.41472   0.0446956
          32    -7.87686    -8.39791   0.0463517
          33    -7.83433    -8.38083   0.0479903
          34    -7.79094    -8.36348    0.049616
          35    -7.74745    -8.34588   0.0512253
          36    -7.70367    -8.32804   0.0528174
          37    -7.66008    -8.30999   0.0543877
          38    -7.61779    -8.29178   0.0559238
          39    -7.57598    -8.27342   0.0574227
          40    -7.53478    -8.25496   0.0588815
          41    -7.49436     -8.2364   0.0602969
          42    -7.45485     -8.2178   0.0616659
          43    -7.41639    -8.19916   0.0629852
          44    -7.37946    -8.18053   0.0642498
          45    -7.34417    -8.16194    0.065455
          46    -7.30967    -8.14342   0.0666027
          47     -7.2764    -8.12497   0.0676921
          48    -7.24511    -8.10664   0.0687189
          49    -7.21524    -8.08845   0.0696828
          50     -7.1875    -8.07043   0.0705804
          51      -7.161     -8.0526   0.0714136
          52     -7.1374      -8.035   0.0721765
          53    -7.11576    -8.01765   0.0728687
          54    -7.09612    -8.00059   0.0734905
          55    -7.07814    -7.98381   0.0740433
          56    -7.06216    -7.96736   0.0745278
          57    -7.04848    -7.95124   0.0749435
          58    -7.03675    -7.93547   0.0752917
          59    -7.02693    -7.92007   0.0755738
          60     -7.0193    -7.90506   0.0757908
          61    -7.01184    -7.89041   0.0759496
          62    -7.00742    -7.87617   0.0760482
          63    -7.00497    -7.86234    0.076088
          64    -7.00378    -7.84893   0.0760725
          65    -7.00408    -7.83593   0.0760045
          66    -7.00546    -7.82335   0.0758873
          67    -7.00879    -7.81119   0.0757223
          68    -7.01301    -7.79945    0.075513
          69    -7.01833    -7.78813   0.0752624
          70    -7.02466    -7.77723   0.0749733
          71    -7.03222    -7.76673    0.074648
          72     -7.0393    -7.75663   0.0742918
          73    -7.04774    -7.74692   0.0739061
          74     -7.0568    -7.73759   0.0734934
          75     -7.0667    -7.72865   0.0730558
          76    -7.07671    -7.72007   0.0725964
          77    -7.08835    -7.71186   0.0721157
          78    -7.09962    -7.70402    0.071617
          79    -7.11009     -7.6965    0.071104
          80    -7.12164    -7.68931   0.0705774
          81    -7.13259    -7.68244   0.0700399
          82     -7.1435    -7.67587   0.0694934
          83    -7.15401    -7.66958     0.06894
          84    -7.16438    -7.66356   0.0683811
          85     -7.1752    -7.65782   0.0678176
          86    -7.18611    -7.65233   0.0672505
          87    -7.19611    -7.64709   0.0666816
          88    -7.20611    -7.64208   0.0661119
          89    -7.21545    -7.63729   0.0655426
          90    -7.22476     -7.6327   0.0649744
          91    -7.23368    -7.62832   0.0644082
          92    -7.24252    -7.62412   0.0638445
          93    -7.25129    -7.62011   0.0632837
          94    -7.25931    -7.61628   0.0627268
          95     -7.2666     -7.6126   0.0621744
          96    -7.27346    -7.60906    0.061627
          97    -7.27926    -7.60566   0.0610854
          98    -7.28563     -7.6024   0.0605493
          99    -7.29096    -7.59925   0.0600194
         100    -7.29622    -7.59622   0.0594957
         101    -7.30079     -7.5933   0.0589784
         102    -7.30436    -7.59046   0.0584682
         103    -7.30825    -7.58772   0.0579647
         104    -7.31311    -7.58508   0.0574675
         105    -7.31735    -7.58253   0.0569767
         106    -7.32036    -7.58006   0.0564929
         107    -7.32376    -7.57766   0.0560156
         108    -7.32693    -7.57534   0.0555451
         109    -7.33022    -7.57309    0.055081
         110    -7.33333    -7.57091   0.0546234
         111    -7.33467    -7.56879   0.0541727
         112     -7.3362    -7.56671   0.0537288
         113    -7.33827    -7.56469   0.0532913
         114    -7.34121    -7.56273   0.0528599
         115    -7.34376    -7.56082   0.0524346
         116     -7.3456    -7.55897   0.0520153
         117    -7.34742    -7.55716   0.0516022
         118    -7.34922     -7.5554    0.051195
         119    -7.35101    -7.55368   0.0507936
         120     -7.3538    -7.55201   0.0503976
         121    -7.35564    -7.55039   0.0500072
         122     -7.3585    -7.54882    0.049622
         123    -7.36045    -7.54729   0.0492422
         124    -7.36214    -7.54579   0.0488677
         125     -7.3652    -7.54435   0.0484982
         126    -7.36674    -7.54294   0.0481337
         127    -7.36967    -7.54158   0.0477741
         128     -7.3727    -7.54026    0.047419
         129    -7.37553    -7.53898   0.0470686
         130    -7.37816    -7.53774   0.0467228
         131    -7.38059    -7.53654   0.0463816
         132     -7.3838    -7.53538   0.0460446
         133    -7.38748    -7.53427   0.0457118
         134    -7.39034     -7.5332   0.0453833
         135    -7.39366    -7.53217   0.0450589
         136    -7.39745    -7.53117   0.0447385
         137    -7.40042    -7.53022   0.0444221
         138    -7.40451    -7.52931   0.0441096
         139     -7.4094    -7.52845   0.0438007
         140    -7.41378    -7.52763   0.0434954
         141    -7.41766    -7.52685    0.043194
         142    -7.42167    -7.52611   0.0428961
         143    -7.42614    -7.52541   0.0426019
         144    -7.43073    -7.52475   0.0423111
         145    -7.43608    -7.52414   0.0420237
         146    -7.44186    -7.52358   0.0417396
         147    -7.44677    -7.52305    0.041459
         148    -7.45112    -7.52257   0.0411817
         149    -7.45523    -7.52211   0.0409078
         150    -7.45972     -7.5217   0.0406372
         151    -7.46491    -7.52132   0.0403698
         152     -7.4695    -7.52098   0.0401056
         153    -7.47509    -7.52068   0.0398446
         154    -7.48036    -7.52042   0.0395868
         155      -7.485    -7.52019    0.039332
         156    -7.48994       -7.52   0.0390804
         157    -7.49519    -7.51984   0.0388318
         158     -7.5004    -7.51972   0.0385862
         159    -7.50588    -7.51963   0.0383436
         160    -7.51001    -7.51957    0.038104
         161    -7.51471    -7.51954   0.0378674
         162    -7.51998    -7.51954   0.0376336
         163    -7.52451    -7.51957   0.0374027
         164     -7.5299    -7.51964   0.0371747
         165    -7.53518    -7.51973   0.0369495
         166    -7.53902    -7.51985   0.0367271
         167    -7.54273    -7.51998   0.0365075
         168    -7.54693    -7.52014   0.0362905
         169    -7.54967    -7.52032   0.0360762
         170    -7.55354    -7.52051   0.0358645
         171    -7.55724    -7.52073   0.0356554
         172    -7.56042    -7.52096   0.0354489
         173    -7.56341     -7.5212   0.0352448
         174    -7.56588    -7.52146   0.0350432
         175    -7.56912    -7.52173    0.034844
         176    -7.57119    -7.52201   0.0346472
         177    -7.57401    -7.52231   0.0344527
         178     -7.5763    -7.52261   0.0342604
         179    -7.57901    -7.52293   0.0340705
         180    -7.58119    -7.52325   0.0338828
         181    -7.58412    -7.52359   0.0336972
         182    -7.58457    -7.52392   0.0335137
         183    -7.58545    -7.52426   0.0333323
         184    -7.58709     -7.5246   0.0331529
         185    -7.58819    -7.52494   0.0329755
         186    -7.58812    -7.52528   0.0327999
         187    -7.58816    -7.52562   0.0326263
         188    -7.58801    -7.52595   0.0324544
         189    -7.58735    -7.52628   0.0322843
         190    -7.58715     -7.5266    0.032116
         191    -7.58676    -7.52691   0.0319494
         192    -7.58457    -7.52721   0.0317844
         193    -7.58545    -7.52751   0.0316211
         194    -7.58487    -7.52781   0.0314595
         195    -7.58379     -7.5281   0.0312995
         196    -7.58288    -7.52838   0.0311411
         197    -7.58019    -7.52864   0.0309841
         198    -7.57865    -7.52889   0.0308286
         199    -7.57631    -7.52913   0.0306746
         200     -7.5748    -7.52936   0.0305221
         201    -7.57251    -7.52957    0.030371
         202    -7.57106    -7.52978   0.0302214
         203    -7.56915    -7.52997   0.0300731
         204    -7.56679    -7.53015   0.0299262
         205    -7.56496    -7.53032   0.0297807
         206    -7.56237    -7.53048   0.0296366
         207    -7.55967    -7.53062   0.0294937
         208    -7.55655    -7.53074   0.0293522
         209    -7.55332    -7.53085    0.029212
         210    -7.55096    -7.53095    0.029073
         211    -7.54851    -7.53103   0.0289353
         212    -7.54499     -7.5311   0.0287989
         213    -7.54106    -7.53114   0.0286638
         214    -7.53802    -7.53118   0.0285298
         215    -7.53556     -7.5312   0.0283971
         216    -7.53141     -7.5312   0.0282657
         217    -7.52882    -7.53119   0.0281354
         218    -7.52553    -7.53116   0.0280064
         219    -7.52251    -7.53112   0.0278785
         220    -7.51881    -7.53106   0.0277519
         221    -7.51475    -7.53099   0.0276264
         222    -7.51099     -7.5309   0.0275021
         223    -7.50658    -7.53079    0.027379
         224    -7.50313    -7.53067    0.027257
         225    -7.49937    -7.53053   0.0271362
         226    -7.49562    -7.53037   0.0270166
         227    -7.49224    -7.53021   0.0268981
         228    -7.48856    -7.53002   0.0267808
         229    -7.48495    -7.52983   0.0266645
         230     -7.4814    -7.52962   0.0265494
         231    -7.47792    -7.52939   0.0264354
         232    -7.47388    -7.52915   0.0263226
         233    -7.47124     -7.5289   0.0262108
         234    -7.46838    -7.52865      0.0261
         235    -7.46565    -7.52838   0.0259904
         236    -7.46369     -7.5281   0.0258817
         237    -7.46058    -7.52782    0.025774
         238    -7.45729    -7.52752   0.0256674
         239    -7.45546    -7.52722   0.0255618
         240    -7.45282    -7.52691   0.0254572
         241    -7.45068    -7.52659   0.0253535
         242    -7.44808    -7.52627   0.0252508
         243    -7.44664    -7.52594    0.025149
         244    -7.44538    -7.52561   0.0250481
         245    -7.44401    -7.52528   0.0249481
         246    -7.44251    -7.52494    0.024849
         247    -7.44089     -7.5246   0.0247507
         248    -7.44014    -7.52426   0.0246532
         249    -7.43992    -7.52392   0.0245566
         250    -7.43992    -7.52359   0.0244606
         251    -7.43949    -7.52325   0.0243655
         252    -7.43928    -7.52292   0.0242711
         253    -7.44026    -7.52259   0.0241773
         254     -7.4405    -7.52227   0.0240843
         255    -7.44258    -7.52196   0.0239919
         256     -7.4436    -7.52165   0.0239001
         257    -7.44453    -7.52135    0.023809
         258     -7.4457    -7.52106   0.0237185
         259    -7.44645    -7.52077   0.0236287
         260    -7.44839    -7.52049   0.0235395
         261    -7.45056    -7.52022   0.0234508
