#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1         1.5         1.5           0
           2     1.49944     1.49972 0.000197635
           3     1.49777     1.49907 0.000547847
           4     1.49498     1.49805 0.000975655
           5     1.49109     1.49666  0.00146876
           6     1.48611      1.4949  0.00201861
           7     1.48004     1.49277   0.0026186
           8     1.47289     1.49029  0.00326409
           9     1.46468     1.48744  0.00395149
          10     1.45541     1.48424  0.00467767
          11      1.4451     1.48068  0.00544004
          12     1.43375     1.47677  0.00623623
          13     1.42137     1.47251  0.00706426
          14     1.40796      1.4679   0.0079227
          15     1.39354     1.46294  0.00881002
          16     1.37812     1.45764  0.00972453
          17     1.36171       1.452   0.0106647
          18     1.34433     1.44602   0.0116293
          19     1.32599      1.4397   0.0126168
          20     1.30672     1.43305   0.0136258
          21     1.28653     1.42607   0.0146549
          22     1.26545     1.41877   0.0157024
          23     1.24353     1.41115   0.0167667
          24     1.22078     1.40322   0.0178461
          25     1.19724     1.39498   0.0189388
          26     1.17297     1.38644   0.0200431
          27     1.14801     1.37761    0.021157
          28      1.1224      1.3685   0.0222785
          29      1.0962     1.35911   0.0234054
          30     1.06948     1.34945   0.0245357
          31      1.0423     1.33954    0.025667
          32     1.01472     1.32939    0.026797
          33    0.986833     1.31901   0.0279233
          34    0.958707     1.30842   0.0290434
          35    0.930429     1.29762   0.0301547
          36    0.902087     1.28663   0.0312546
          37    0.873773     1.27547   0.0323404
          38    0.845583     1.26416   0.0334095
          39    0.817611     1.25271    0.034459
          40    0.789956     1.24114   0.0354864
          41    0.762716     1.22947    0.036489
          42    0.735988     1.21772   0.0374642
          43    0.709869     1.20591   0.0384095
          44    0.684454     1.19406   0.0393224
          45    0.659833     1.18219   0.0402007
          46    0.636095     1.17032   0.0410423
          47    0.613318     1.15846   0.0418451
          48    0.591575     1.14665   0.0426073
          49    0.570933     1.13491   0.0433275
          50    0.551451     1.12324   0.0440043
          51    0.533178     1.11167   0.0446366
          52     0.51616     1.10021   0.0452234
          53    0.500427      1.0889   0.0457642
          54    0.486005     1.07773   0.0462585
          55    0.472909     1.06674   0.0467063
          56    0.461143     1.05592   0.0471075
          57    0.450705      1.0453   0.0474626
          58    0.441584      1.0349   0.0477721
          59    0.433762     1.02471   0.0480366
          60    0.427213     1.01475   0.0482571
          61    0.421904     1.00503   0.0484348
          62    0.417794    0.995558   0.0485709
          63    0.414841     0.98634   0.0486667
          64    0.412993    0.977382   0.0487238
          65    0.412197    0.968687   0.0487439
          66    0.412395    0.960258   0.0487287
          67    0.413525    0.952098   0.0486798
          68    0.415525    0.944207   0.0485993
          69     0.41833    0.936585   0.0484889
          70    0.421874    0.929232   0.0483505
          71     0.42609    0.922146    0.048186
          72    0.430913    0.915323   0.0479973
          73    0.436277    0.908761   0.0477863
          74    0.442115    0.902455   0.0475548
          75    0.448363      0.8964   0.0473046
          76     0.45496    0.890592   0.0470374
          77    0.461845    0.885024    0.046755
          78    0.468959     0.87969   0.0464588
          79    0.476248    0.874583   0.0461506
          80    0.483659    0.869696   0.0458317
          81    0.491143    0.865023   0.0455035
          82    0.498651    0.860555   0.0451674
          83    0.506143    0.856285   0.0448246
          84    0.513578    0.852205   0.0444763
          85    0.520918    0.848307   0.0441234
          86    0.528132    0.844584   0.0437672
          87     0.53519    0.841028   0.0434083
          88    0.542065    0.837631   0.0430478
          89    0.548734    0.834385   0.0426863
          90    0.555178    0.831283   0.0423246
          91     0.56138    0.828317   0.0419633
          92    0.567326     0.82548    0.041603
          93    0.573008    0.822765   0.0412441
          94    0.578418    0.820166   0.0408872
          95    0.583553    0.817675   0.0405326
          96    0.588409    0.815287   0.0401806
          97    0.592985    0.812995   0.0398317
          98    0.597286    0.810794    0.039486
          99    0.601316    0.808678   0.0391438
         100    0.605082    0.806642   0.0388053
         101    0.608593    0.804681   0.0384706
         102    0.611859    0.802791   0.0381399
         103    0.614888    0.800966   0.0378132
         104    0.617693    0.799204   0.0374906
         105    0.620288      0.7975   0.0371723
         106    0.622688    0.795851   0.0368582
         107    0.624906    0.794253   0.0365483
         108    0.626957    0.792704   0.0362427
         109    0.628857    0.791201   0.0359414
         110    0.630622    0.789741   0.0356443
         111    0.632267    0.788323   0.0353514
         112    0.633809    0.786943   0.0350626
         113    0.635261    0.785601    0.034778
         114    0.636637    0.784294   0.0344975
         115    0.637952    0.783022    0.034221
         116     0.63922    0.781782   0.0339484
         117    0.640453    0.780574   0.0336797
         118    0.641663    0.779397   0.0334149
         119    0.642863    0.778249   0.0331538
         120    0.644061    0.777131   0.0328963
         121     0.64527    0.776041   0.0326425
         122      0.6465     0.77498   0.0323922
         123     0.64776    0.773945   0.0321454
         124    0.649058    0.772938   0.0319019
         125    0.650401    0.771958   0.0316618
         126    0.651796    0.771004   0.0314248
         127    0.653252    0.770077   0.0311911
         128    0.654775    0.769176   0.0309604
         129    0.656368    0.768302   0.0307327
         130    0.658038    0.767453    0.030508
         131    0.659788    0.766632   0.0302862
         132    0.661624    0.765836   0.0300672
         133     0.66355    0.765067    0.029851
         134    0.665573    0.764325   0.0296375
         135    0.667692    0.763609   0.0294266
         136    0.669907     0.76292   0.0292183
         137     0.67222    0.762258   0.0290125
         138    0.674631    0.761623   0.0288092
         139    0.677141    0.761015   0.0286083
         140    0.679751    0.760434   0.0284099
         141    0.682459    0.759881   0.0282138
         142    0.685259    0.759356     0.02802
