#       STEP:  	 	 BETA:	  		MU:       SIGMA:       H_AVE:       ERROR:
            1            1     0.528928      1.21138     0.171117     0.085168
            2            1     0.528928      1.21138     0.171117     0.713619
            3            1     0.528928      1.21138     0.171117    0.0643618
            4            1       1.2103     0.425686     0.440672    0.0235192
            5            1      1.32423    -0.522784     0.740162    0.0464878
            6            1      1.32423    -0.522784     0.740162     0.366067
            7            1      1.32423    -0.522784     0.740162     0.135642
            8            1      1.32423    -0.522784     0.740162    0.0652424
            9            1      1.32423    -0.522784     0.740162     0.154189
           10            1     0.590969    -0.502918    -0.206196    0.0176171
           11            1     0.590969    -0.502918    -0.206196     0.195219
           12            1     0.343976      -0.6847   -0.0826923    0.0182259
           13            1     0.343976      -0.6847   -0.0826923     0.140831
           14            1     0.343976      -0.6847   -0.0826923     0.619246
           15            1     0.343976      -0.6847   -0.0826923      4.02723
           16            1     0.343976      -0.6847   -0.0826923      1.02032
           17            1     0.343976      -0.6847   -0.0826923      12.1351
           18            1    -0.176528    -0.875251    -0.184456    0.0159306
           19            1     -1.00518    -0.717094    -0.171232    0.0324191
           20            1     -1.00518    -0.717094    -0.171232     0.433871
           21            1     -1.00518    -0.717094    -0.171232      1.24363
           22            1     -1.00518    -0.717094    -0.171232    0.0487284
           23            1     -1.00518    -0.717094    -0.171232     0.927437
           24            1     -1.00518    -0.717094    -0.171232     0.028931
           25            1     -1.00518    -0.717094    -0.171232    0.0674628
           26            1     -1.00518    -0.717094    -0.171232      1.43889
           27            1     -1.00518    -0.717094    -0.171232     0.261513
           28            1     -1.00518    -0.717094    -0.171232      341.792
           29            1     -1.00518    -0.717094    -0.171232      0.15965
           30            1     -1.00518    -0.717094    -0.171232      0.22617
           31            1     -1.00518    -0.717094    -0.171232      99.2068
           32            1     -1.00518    -0.717094    -0.171232     0.251349
           33            1     -1.00518    -0.717094    -0.171232     0.134507
           34            1     -1.00518    -0.717094    -0.171232     0.354522
           35            1    -0.435992     -1.44503     0.845313     0.175356
           36            1    -0.910263    -0.551173    -0.361023    0.0101825
           37            1    -0.910263    -0.551173    -0.361023      1.46962
           38            1    -0.571566     -1.01322    -0.130131    0.0703532
           39            1    -0.571566     -1.01322    -0.130131      1.21308
           40            1    -0.571566     -1.01322    -0.130131     0.881401
           41            1    -0.571566     -1.01322    -0.130131     0.165659
           42            1    -0.571566     -1.01322    -0.130131    0.0684951
           43            1    -0.571566     -1.01322    -0.130131     0.988325
           44            1    -0.571566     -1.01322    -0.130131     0.282924
           45            1    -0.571566     -1.01322    -0.130131     0.620609
           46            1    -0.785104    -0.514439    -0.357144    0.0166173
           47            1    -0.785104    -0.514439    -0.357144     0.104595
           48            1    -0.785104    -0.514439    -0.357144      1.08882
           49            1    -0.785104    -0.514439    -0.357144     0.206941
           50            1    -0.785104    -0.514439    -0.357144    0.0889758
            1            2    -0.527116    -0.834036    -0.271445    0.0142752
            2            2    -0.629704    -0.567261    -0.338748    0.0135429
            3            2    -0.629704    -0.567261    -0.338748    0.0591949
            4            2    -0.629704    -0.567261    -0.338748     0.130597
            5            2    -0.629704    -0.567261    -0.338748     0.714041
            6            2    -0.629704    -0.567261    -0.338748    0.0281863
            7            2    -0.629704    -0.567261    -0.338748    0.0299567
            8            2    -0.629704    -0.567261    -0.338748     0.514468
            9            2    -0.274464    -0.905685    -0.253376    0.0150715
           10            2   -0.0775309     -1.39633     0.596458       0.1508
           11            2    -0.279046    -0.918747    -0.245388     0.017838
           12            2    -0.279046    -0.918747    -0.245388     0.233738
           13            2    -0.277284     -1.21296     0.159298     0.127101
           14            2    -0.277284     -1.21296     0.159298      0.22805
           15            2     0.158767    -0.797576    -0.139908    0.0174208
           16            2    0.0943253    -0.614518       0.2902    0.0252972
           17            2     0.295354    -0.644211    0.0377924    0.0189385
           18            2     0.165787    -0.586779     0.329438    0.0258386
           19            2     0.586381    -0.953281     -0.29743    0.0185948
           20            2     0.452323     -0.74617    -0.219147    0.0184883
           21            2     0.600853    -0.864679    -0.288372    0.0230046
           22            2     0.600853    -0.864679    -0.288372     0.166156
           23            2     0.600853    -0.864679    -0.288372    0.0588658
           24            2     0.255282     -1.01218     -0.28206    0.0167298
           25            2     0.255282     -1.01218     -0.28206     0.122132
