#      BLOCK:  	 ACTUAL_H:       H_AVE:       ERROR:
            1    -0.285972    -0.285972            0
            2    -0.131234    -0.208603    0.0773687
            3    -0.283344    -0.233516    0.0511468
            4    -0.209014    -0.227391    0.0366813
            5     0.186422    -0.144628    0.0875041
            6    -0.174836    -0.149663     0.071624
            7    -0.208631    -0.158087    0.0611166
            8   -0.0311132    -0.142215    0.0552571
            9    -0.136837    -0.141618    0.0487358
           10   -0.0514781    -0.132604    0.0445129
           11    -0.233874     -0.14181    0.0413025
           12   -0.0189778    -0.131574    0.0390686
           13   -0.0176121    -0.122808    0.0369917
           14   -0.0355211    -0.116573    0.0348105
           15    -0.241677    -0.124913    0.0334629
           16    -0.117242    -0.124434    0.0313053
           17    -0.108216     -0.12348    0.0294217
           18     0.189875    -0.106071    0.0327492
           19    0.0231546   -0.0992699    0.0317155
           20   -0.0687116    -0.097742    0.0301268
           21    -0.368817     -0.11065    0.0314294
           22    -0.266582    -0.117738    0.0307936
           23    -0.199401    -0.121289    0.0296377
           24    -0.226074    -0.125655    0.0287099
           25    -0.231114    -0.129873    0.0278588
           26   -0.0362387    -0.126272     0.027007
           27    -0.106658    -0.125545    0.0259977
           28   -0.0897096    -0.124265    0.0250847
           29      -0.6314    -0.141753    0.0298606
           30    -0.157253     -0.14227    0.0288527
           31  -0.00184231     -0.13774    0.0282717
           32   -0.0683243     -0.13557    0.0274598
           33    -0.166721    -0.136514    0.0266314
           34    -0.155442    -0.137071    0.0258422
           35    -0.211726    -0.139204    0.0251835
           36   -0.0272061    -0.136093    0.0246709
           37    -0.339186    -0.141582    0.0246147
           38     0.111631    -0.134919    0.0248676
           39     0.192075    -0.126534    0.0256317
           40   -0.0956782    -0.125763    0.0249946
           41     0.109691     -0.12002    0.0250446
           42    -0.171156    -0.121237    0.0244714
           43    -0.177007    -0.122534    0.0239307
           44    -0.259539    -0.125648    0.0235869
           45     -0.29403     -0.12939    0.0233584
           46    -0.141183    -0.129646    0.0228464
           47    -0.254738    -0.132308    0.0225129
           48   -0.0636235    -0.130877    0.0220853
           49   0.00154108    -0.128174    0.0217981
           50    -0.373724    -0.133085     0.021915
           51    0.0163296    -0.130156    0.0216799
           52    -0.128943    -0.130132    0.0212589
           53    -0.513862    -0.137373     0.022075
           54     0.132076    -0.132383    0.0222296
           55    -0.140563    -0.132532    0.0218222
           56     0.090966    -0.128541    0.0217974
           57    0.0140013     -0.12604    0.0215572
           58    -0.172476     -0.12684    0.0211974
           59    -0.218204    -0.128389    0.0208924
           60    -0.218493    -0.129891    0.0205961
           61     0.176084    -0.124875    0.0208675
           62    -0.221187    -0.126428    0.0205868
           63    -0.618981    -0.134246    0.0217138
           64    -0.195192    -0.135199     0.021393
           65    -0.217844     -0.13647    0.0210997
           66    -0.132093    -0.136404    0.0207776
           67   -0.0836974    -0.135617    0.0204803
           68   -0.0133366    -0.133819    0.0202568
           69  -0.00109601    -0.131895    0.0200536
           70    -0.041867    -0.130609    0.0198068
           71    -0.205464    -0.131664    0.0195543
           72    -0.360607    -0.134843    0.0195412
           73     -0.18747    -0.135564    0.0192852
           74     0.093495    -0.132469     0.019273
           75    -0.248371    -0.134014    0.0190769
           76    -0.258768    -0.135656    0.0188957
           77    0.0548242    -0.133182     0.018812
           78    0.0112884     -0.13133    0.0186614
           79   -0.0799184    -0.130679    0.0184352
           80    -0.406148    -0.134122    0.0185261
           81   -0.0432989    -0.133001    0.0183303
           82    -0.124697      -0.1329    0.0181057
           83   -0.0130518    -0.131456    0.0179444
           84    -0.451101    -0.135261    0.0181332
           85   -0.0270609    -0.133988    0.0179638
           86    -0.101397    -0.133609    0.0177577
           87    -0.150583    -0.133804    0.0175535
           88    -0.095775    -0.133372    0.0173583
           89    -0.240589    -0.134577    0.0172044
           90    -0.320336    -0.136641    0.0171369
           91   -0.0613301    -0.135813    0.0169677
           92   -0.0605346    -0.134995    0.0168022
           93    -0.216288    -0.135869    0.0166435
           94    -0.182953     -0.13637    0.0164731
           95    -0.150076    -0.136514    0.0162994
           96    -0.196243    -0.137137    0.0161408
           97    -0.158534    -0.137357     0.015975
           98   -0.0234226    -0.136195    0.0158538
           99     0.122916    -0.133577    0.0159096
          100     -0.13852    -0.133627    0.0157498
