#      BLOCK:  	 ACTUAL_H:       H_AVE:       ERROR:
            1    -0.469206    -0.469206            0
            2    -0.396898    -0.433052    0.0361542
            3    -0.466529    -0.444211    0.0236692
            4    -0.490965      -0.4559    0.0204142
            5    -0.514917    -0.467703    0.0197324
            6    -0.491946    -0.471744    0.0166103
            7    -0.394878    -0.460763    0.0178228
            8    -0.414425    -0.454971     0.016486
            9    -0.370073    -0.445538    0.0173313
           10    -0.459682    -0.446952     0.015566
           11    -0.286701    -0.432384    0.0202603
           12    -0.437302    -0.432794    0.0184996
           13    -0.458253    -0.434752    0.0171294
           14    -0.502278    -0.439575     0.016576
           15    -0.417415    -0.438098     0.015502
           16    -0.454512    -0.439124    0.0145371
           17    -0.495219    -0.442424    0.0140482
           18    -0.554675     -0.44866    0.0146395
           19    -0.470483    -0.449808    0.0138951
           20    -0.472243     -0.45093    0.0132297
           21    -0.329649    -0.445155    0.0138459
           22    -0.475526    -0.446535    0.0132736
           23     -0.49222    -0.448522    0.0128379
           24    -0.482156    -0.449923     0.012371
           25    -0.441359    -0.449581    0.0118708
           26    -0.445063    -0.449407    0.0114064
           27    -0.433176    -0.448806    0.0109923
           28    -0.435084    -0.448316    0.0106038
           29    -0.447733    -0.448295    0.0102316
           30    -0.534036    -0.451154    0.0102895
           31    -0.418514    -0.450101    0.0100076
           32    -0.484104    -0.451163   0.00974794
           33    -0.485257    -0.452196   0.00950425
           34    -0.407826    -0.450891   0.00931237
           35    -0.503077    -0.452382    0.0091645
           36    -0.489641    -0.453417   0.00896622
           37    -0.475238    -0.454007   0.00874044
           38    -0.422384    -0.453175   0.00854793
           39    -0.445691    -0.452983   0.00832808
           40    -0.463507    -0.453246   0.00812147
           41    -0.407538    -0.452131   0.00799898
           42    -0.287333    -0.448208   0.00873686
           43    -0.257807     -0.44378   0.00961191
           44    -0.581178    -0.446902   0.00989649
           45     -0.50737    -0.448246   0.00976694
           46    -0.363045    -0.446394   0.00973017
           47    -0.462545    -0.446737   0.00952709
           48     -0.56703    -0.449244   0.00965734
           49    -0.515708      -0.4506   0.00955496
           50     -0.38759     -0.44934   0.00944635
           51    -0.497021    -0.450275   0.00930636
           52    -0.441624    -0.450108   0.00912715
           53    -0.443962    -0.449992   0.00895403
           54    -0.456531    -0.450113   0.00878749
           55     -0.47975    -0.450652   0.00864305
           56     -0.48397    -0.451247   0.00850813
           57    -0.488224    -0.451896   0.00838267
           58    -0.470645    -0.452219   0.00824322
           59    -0.384583    -0.451073   0.00818299
           60     -0.47065    -0.451399   0.00805207
           61    -0.419611    -0.450878    0.0079361
           62    -0.555899    -0.452572   0.00798869
           63    -0.467036    -0.452801   0.00786422
           64     -0.41052    -0.452141    0.0077685
           65    -0.476133     -0.45251   0.00765696
           66    -0.523204    -0.453581   0.00761575
           67    -0.435792    -0.453316   0.00750592
           68    -0.289182    -0.450902   0.00777868
           69    -0.407339    -0.450271   0.00769107
           70    -0.538083    -0.451525    0.0076835
           71    -0.437283    -0.451324   0.00757717
           72    -0.535091    -0.452488   0.00756123
           73     -0.48991       -0.453   0.00747453
           74    -0.432014    -0.452717   0.00737829
           75    -0.357967    -0.451454   0.00738806
           76    -0.441788    -0.451326   0.00729131
           77    -0.437147    -0.451142   0.00719835
           78    -0.496289    -0.451721     0.007129
           79    -0.380267    -0.450817   0.00709606
           80     -0.46032    -0.450935    0.0070078
           81     -0.46671     -0.45113   0.00692349
           82    -0.528115    -0.452069   0.00690268
           83    -0.462315    -0.452192   0.00682012
           84    -0.463799    -0.452331   0.00673986
           85    -0.449695      -0.4523   0.00666017
           86    -0.479967    -0.452621   0.00659012
           87    -0.508062    -0.453258   0.00654503
           88    -0.400682    -0.452661   0.00649776
           89    -0.474949    -0.452911   0.00642921
           90    -0.429887    -0.452656   0.00636252
           91    -0.383186    -0.451892   0.00633835
           92    -0.511043    -0.452535   0.00630196
           93    -0.284553    -0.450729   0.00649024
           94    -0.416513    -0.450365   0.00643113
           95    -0.484816    -0.450728    0.0063734
           96    -0.401035     -0.45021   0.00632787
           97    -0.382036    -0.449507   0.00630161
           98    -0.457017    -0.449584   0.00623745
           99    -0.498755     -0.45008   0.00619407
          100    -0.472896    -0.450309   0.00613606
