#      BLOCK:  	 ACTUAL_H:       H_AVE:       ERROR:
            1    -0.650229    -0.650229            0
            2    -0.962041    -0.806135     0.155906
            3    -0.796586    -0.802952    0.0900685
            4    -0.796586     -0.80136    0.0637079
            5    -0.796586    -0.800405    0.0493572
            6    -0.245477    -0.707917     0.100887
            7      1.64469    -0.371831     0.346734
            8    -0.596983    -0.399975     0.301596
            9    -0.719813    -0.435512     0.268347
           10    -0.719813    -0.463942     0.241694
           11    -0.719813    -0.487203     0.219855
           12    -0.719813    -0.506588     0.201633
           13    -0.780498    -0.527658     0.186668
           14    -0.939486    -0.557074     0.175307
           15    -0.939486    -0.582568     0.165181
           16     -1.02552    -0.610253     0.156973
           17    -0.226429    -0.587675     0.149169
           18    -0.226429    -0.567606     0.142063
           19    -0.226429    -0.549649     0.135573
           20    -0.217569    -0.533045     0.129683
           21    -0.424332    -0.527868     0.123461
           22    -0.760626    -0.538448      0.11819
           23    -0.760626    -0.548108     0.113347
           24    -0.517434     -0.54683     0.108529
           25    -0.167915    -0.531673     0.105195
           26    -0.167915    -0.517683     0.102032
           27    -0.167915    -0.504728    0.0990313
           28    -0.167915    -0.492699    0.0961841
           29    -0.167915      -0.4815    0.0934814
           30    -0.857602    -0.494036    0.0911777
           31    -0.316099    -0.488296     0.088374
           32    -0.349461    -0.483958    0.0856777
           33    -0.349461    -0.479882    0.0831408
           34    -0.424232    -0.478245     0.080675
           35    -0.187348    -0.469934    0.0787758
           36     -0.27702    -0.464575    0.0767436
           37     -0.27702    -0.459506    0.0748126
           38     -0.27702    -0.454704    0.0729754
           39     -0.27702    -0.450148    0.0712255
           40     -1.02322    -0.464475    0.0708849
           41    -0.648213    -0.468956    0.0692795
           42    -0.648213    -0.473224    0.0677444
           43      -0.4924     -0.47367    0.0661517
           44    -0.188902    -0.467198     0.064954
           45    -0.954246    -0.478022    0.0644101
           46     -1.01943    -0.489791    0.0640844
           47    -0.691812     -0.49409    0.0628532
           48    -0.691812    -0.498209    0.0616676
           49    -0.691812     -0.50216    0.0605251
           50    -0.691812    -0.505953    0.0594234
           51    -0.586047    -0.507523    0.0582677
           52    -0.586047    -0.509034    0.0571562
           53    -0.586047    -0.510487    0.0560862
           54     -1.02184    -0.519956    0.0558465
           55     -1.02184    -0.529081    0.0555759
           56     -1.02184    -0.537881    0.0552793
           57    -0.618226     -0.53929    0.0543191
           58     -0.32391    -0.535577    0.0535034
           59    -0.323737    -0.531986    0.0527112
           60    -0.323737    -0.528515    0.0519413
           61    -0.647231    -0.530461    0.0511198
           62    -0.647231    -0.532345    0.0503237
           63    -0.647231    -0.534168    0.0495521
           64    -0.647231    -0.535935    0.0488037
           65    -0.647231    -0.537647    0.0480775
           66    -0.647231    -0.539308    0.0473725
           67    -0.781881    -0.542928    0.0468004
           68     -0.21224    -0.538065    0.0463627
           69     -0.21224    -0.533343    0.0459293
           70     -0.21224    -0.528756    0.0455002
           71     -0.21224    -0.524298    0.0450758
           72     -0.21224    -0.519964    0.0446561
           73     -0.21224    -0.515748    0.0442414
           74    -0.536315    -0.516026    0.0436404
           75    -0.536315    -0.516297    0.0430554
           76    -0.536315     -0.51656    0.0424859
           77    -0.536315    -0.516817    0.0419313
           78    -0.272973     -0.51369    0.0415082
           79    -0.272973    -0.510643    0.0410925
           80     -0.18731    -0.506602    0.0407764
           81    -0.645645    -0.508318    0.0403064
           82    -0.645645    -0.509993     0.039847
           83    -0.606329    -0.511154    0.0393811
           84    -0.464563    -0.510599    0.0389134
           85    -0.464563    -0.510057    0.0384567
           86    -0.464563    -0.509528    0.0380106
           87    -0.464563    -0.509012    0.0375747
           88    -0.464563    -0.508507    0.0371487
           89    -0.464563    -0.508013    0.0367322
           90    -0.365686    -0.506431    0.0363562
           91    -0.533857    -0.506733    0.0359557
           92    -0.533857    -0.507028     0.035564
           93    -0.183057    -0.503544    0.0353516
           94    -0.201207    -0.500328     0.035121
           95    -0.201207    -0.497179    0.0348917
           96    -0.201207    -0.494096    0.0346638
           97    -0.235145    -0.491426    0.0344083
           98    -0.235145    -0.488811    0.0341556
           99    -0.511968    -0.489045    0.0338096
          100    -0.254531      -0.4867    0.0335519
          101    -0.161875    -0.483484    0.0333734
          102    -0.885835    -0.487429    0.0332792
          103    -0.513889    -0.487685    0.0329555
          104    -0.157629    -0.484512     0.032791
          105    -0.157629    -0.481399    0.0326261
          106    -0.817868    -0.484573    0.0324723
          107    -0.950345    -0.488926    0.0324606
          108     -1.02633    -0.493902    0.0325413
          109     -1.02633    -0.498786    0.0326093
          110    -0.312165     -0.49709     0.032356
          111    -0.387087    -0.496099    0.0320785
          112    -0.387087    -0.495126    0.0318057
          113    -0.387087     -0.49417    0.0315375
          114    -0.387087     -0.49323    0.0312737
          115    -0.387087    -0.492307    0.0310143
