#      	CITY:			X:     		 Y:
            1    -0.754701    -0.660164
            2   -0.0417242   -0.0114806
            3      0.35676    -0.803571
            4    -0.832092    -0.681482
            5   -0.0564068     0.169834
            6     0.154538      0.68001
            7     0.233619     0.160937
            8     0.303909    -0.572297
            9   -0.0135474     0.512095
           10     0.312037     0.810967
           11     0.531528     0.940534
           12     0.837711     0.879751
           13     0.459299    -0.337669
           14    -0.870714     0.509307
           15    -0.257007     0.673133
           16    -0.894478    -0.092985
           17    -0.732392    -0.893041
           18     0.426846    -0.776446
           19     0.372012    -0.261299
           20    -0.533686    -0.613414
           21    -0.663351     0.144877
           22   0.00371557    -0.951432
           23     -0.75808     0.360274
           24    -0.441534    0.0917158
           25    -0.484213    -0.521464
           26    -0.965397     0.166357
           27   -0.0457706     0.143669
           28    -0.454497     -0.49727
           29     -0.54778     0.989221
           30     0.863731     0.508103
           31      0.97095    -0.201956
           32     0.410058    -0.827986
           33     0.626571    -0.964115
           34     0.552096    -0.957725
            1    -0.754701    -0.660164
            2   -0.0417242   -0.0114806
            3      0.35676    -0.803571
            4    -0.832092    -0.681482
            5   -0.0564068     0.169834
            6     0.154538      0.68001
            7     0.233619     0.160937
            8     0.303909    -0.572297
            9   -0.0135474     0.512095
           10     0.312037     0.810967
           11     0.531528     0.940534
           12     0.837711     0.879751
           13     0.459299    -0.337669
           14    -0.870714     0.509307
           15    -0.257007     0.673133
           16    -0.894478    -0.092985
           17    -0.732392    -0.893041
           18     0.426846    -0.776446
           19     0.372012    -0.261299
           20    -0.533686    -0.613414
           21    -0.663351     0.144877
           22   0.00371557    -0.951432
           23    -0.454497     -0.49727
           24    -0.441534    0.0917158
           25    -0.484213    -0.521464
           26   -0.0457706     0.143669
           27    -0.965397     0.166357
           28     -0.75808     0.360274
           29     -0.54778     0.989221
           30     0.863731     0.508103
           31      0.97095    -0.201956
           32     0.410058    -0.827986
           33     0.626571    -0.964115
           34     0.552096    -0.957725
            1    -0.754701    -0.660164
            2   -0.0417242   -0.0114806
            3      0.35676    -0.803571
            4    -0.832092    -0.681482
            5   -0.0564068     0.169834
            6     0.154538      0.68001
            7     0.233619     0.160937
            8     0.303909    -0.572297
            9   -0.0135474     0.512095
           10     0.312037     0.810967
           11     0.531528     0.940534
           12     0.837711     0.879751
           13     0.459299    -0.337669
           14    -0.870714     0.509307
           15    -0.257007     0.673133
           16    -0.894478    -0.092985
           17    -0.732392    -0.893041
           18     0.426846    -0.776446
           19     0.372012    -0.261299
           20    -0.533686    -0.613414
           21    -0.663351     0.144877
           22   0.00371557    -0.951432
           23    -0.454497     -0.49727
           24    -0.441534    0.0917158
           25   -0.0457706     0.143669
           26    -0.484213    -0.521464
           27    -0.965397     0.166357
           28     -0.75808     0.360274
           29     -0.54778     0.989221
           30     0.863731     0.508103
           31      0.97095    -0.201956
           32     0.410058    -0.827986
           33     0.626571    -0.964115
           34     0.552096    -0.957725
            1    -0.754701    -0.660164
            2   -0.0457706     0.143669
            3    -0.257007     0.673133
            4   -0.0135474     0.512095
            5     0.372012    -0.261299
            6     0.233619     0.160937
            7    -0.484213    -0.521464
            8    -0.441534    0.0917158
            9   -0.0417242   -0.0114806
           10     0.459299    -0.337669
           11      0.35676    -0.803571
           12    -0.663351     0.144877
           13    -0.870714     0.509307
           14    -0.832092    -0.681482
           15    -0.533686    -0.613414
           16    -0.732392    -0.893041
           17    -0.454497     -0.49727
           18     0.426846    -0.776446
           19     0.626571    -0.964115
           20      0.97095    -0.201956
           21     0.531528     0.940534
           22   -0.0564068     0.169834
           23     -0.54778     0.989221
           24     0.154538      0.68001
           25     0.837711     0.879751
           26     0.863731     0.508103
           27     0.303909    -0.572297
           28     0.410058    -0.827986
           29   0.00371557    -0.951432
           30     0.552096    -0.957725
           31    -0.965397     0.166357
           32     0.312037     0.810967
           33     -0.75808     0.360274
           34    -0.894478    -0.092985
            1    -0.754701    -0.660164
            2   -0.0457706     0.143669
            3    -0.257007     0.673133
            4   -0.0135474     0.512095
            5     0.372012    -0.261299
            6     0.233619     0.160937
            7    -0.484213    -0.521464
            8    -0.441534    0.0917158
            9   -0.0417242   -0.0114806
           10     0.459299    -0.337669
           11      0.35676    -0.803571
           12    -0.663351     0.144877
           13    -0.870714     0.509307
           14    -0.832092    -0.681482
           15    -0.533686    -0.613414
           16    -0.732392    -0.893041
           17    -0.454497     -0.49727
           18     0.426846    -0.776446
           19     0.626571    -0.964115
           20      0.97095    -0.201956
           21     0.531528     0.940534
           22   -0.0564068     0.169834
           23     -0.54778     0.989221
           24     0.154538      0.68001
           25     0.837711     0.879751
           26     0.863731     0.508103
           27     0.303909    -0.572297
           28     0.410058    -0.827986
           29   0.00371557    -0.951432
           30     0.552096    -0.957725
           31     0.312037     0.810967
           32    -0.965397     0.166357
           33     -0.75808     0.360274
           34    -0.894478    -0.092985
            1    -0.754701    -0.660164
            2   -0.0457706     0.143669
            3    -0.257007     0.673133
            4   -0.0135474     0.512095
            5     0.372012    -0.261299
            6     0.233619     0.160937
            7    -0.484213    -0.521464
            8    -0.441534    0.0917158
            9   -0.0417242   -0.0114806
           10     0.459299    -0.337669
           11     0.303909    -0.572297
           12     0.863731     0.508103
           13     0.837711     0.879751
           14     0.154538      0.68001
           15     -0.54778     0.989221
           16   -0.0564068     0.169834
           17     0.531528     0.940534
           18      0.97095    -0.201956
           19     0.626571    -0.964115
           20     0.426846    -0.776446
           21    -0.454497     -0.49727
           22    -0.732392    -0.893041
           23    -0.533686    -0.613414
           24    -0.832092    -0.681482
           25    -0.870714     0.509307
           26    -0.663351     0.144877
           27      0.35676    -0.803571
           28     0.410058    -0.827986
           29   0.00371557    -0.951432
           30     0.552096    -0.957725
           31     0.312037     0.810967
           32    -0.965397     0.166357
           33     -0.75808     0.360274
           34    -0.894478    -0.092985
            1    -0.754701    -0.660164
            2     0.459299    -0.337669
            3      0.35676    -0.803571
            4   -0.0417242   -0.0114806
            5   -0.0564068     0.169834
            6     0.154538      0.68001
            7     0.233619     0.160937
            8     0.303909    -0.572297
            9   -0.0135474     0.512095
           10     0.312037     0.810967
           11     0.531528     0.940534
           12     0.837711     0.879751
           13    -0.257007     0.673133
           14     -0.75808     0.360274
           15    -0.894478    -0.092985
           16     0.372012    -0.261299
           17   0.00371557    -0.951432
           18    -0.441534    0.0917158
           19    -0.484213    -0.521464
           20   -0.0457706     0.143669
           21    -0.965397     0.166357
           22     -0.54778     0.989221
           23     0.863731     0.508103
           24      0.97095    -0.201956
           25     0.410058    -0.827986
           26     0.626571    -0.964115
           27     0.552096    -0.957725
           28     0.426846    -0.776446
           29    -0.454497     -0.49727
           30    -0.732392    -0.893041
           31    -0.533686    -0.613414
           32    -0.832092    -0.681482
           33    -0.870714     0.509307
           34    -0.663351     0.144877
            1    -0.754701    -0.660164
            2     0.459299    -0.337669
            3      0.35676    -0.803571
            4   -0.0417242   -0.0114806
            5   -0.0564068     0.169834
            6     0.154538      0.68001
            7     0.233619     0.160937
            8     0.303909    -0.572297
            9   -0.0135474     0.512095
           10     0.312037     0.810967
           11     0.531528     0.940534
           12     0.837711     0.879751
           13    -0.257007     0.673133
           14     -0.75808     0.360274
           15    -0.894478    -0.092985
           16     0.372012    -0.261299
           17   0.00371557    -0.951432
           18    -0.484213    -0.521464
           19    -0.441534    0.0917158
           20    -0.965397     0.166357
           21     -0.54778     0.989221
           22   -0.0457706     0.143669
           23     0.863731     0.508103
           24      0.97095    -0.201956
           25     0.410058    -0.827986
           26     0.626571    -0.964115
           27     0.552096    -0.957725
           28     0.426846    -0.776446
           29    -0.454497     -0.49727
           30    -0.732392    -0.893041
           31    -0.533686    -0.613414
           32    -0.832092    -0.681482
           33    -0.870714     0.509307
           34    -0.663351     0.144877
            1    -0.754701    -0.660164
            2     0.459299    -0.337669
            3      0.35676    -0.803571
            4   -0.0417242   -0.0114806
            5   -0.0564068     0.169834
            6     0.154538      0.68001
            7     0.233619     0.160937
            8     0.303909    -0.572297
            9   -0.0135474     0.512095
           10     0.312037     0.810967
           11     0.531528     0.940534
           12     0.837711     0.879751
           13    -0.257007     0.673133
           14     -0.75808     0.360274
           15    -0.894478    -0.092985
           16     0.372012    -0.261299
           17   0.00371557    -0.951432
           18    -0.484213    -0.521464
           19    -0.441534    0.0917158
           20    -0.965397     0.166357
           21     -0.54778     0.989221
           22   -0.0457706     0.143669
           23     0.863731     0.508103
           24      0.97095    -0.201956
           25     0.410058    -0.827986
           26     0.626571    -0.964115
           27     0.552096    -0.957725
           28     0.426846    -0.776446
           29    -0.454497     -0.49727
           30    -0.732392    -0.893041
           31    -0.533686    -0.613414
           32    -0.832092    -0.681482
           33    -0.870714     0.509307
           34    -0.663351     0.144877
            1    -0.754701    -0.660164
            2     0.459299    -0.337669
            3      0.35676    -0.803571
            4   -0.0417242   -0.0114806
            5   -0.0564068     0.169834
            6     0.154538      0.68001
            7     0.233619     0.160937
            8     0.303909    -0.572297
            9   -0.0135474     0.512095
           10     0.312037     0.810967
           11     0.531528     0.940534
           12     0.837711     0.879751
           13    -0.257007     0.673133
           14     -0.75808     0.360274
           15    -0.870714     0.509307
           16     0.372012    -0.261299
           17   0.00371557    -0.951432
           18    -0.484213    -0.521464
           19    -0.441534    0.0917158
           20    -0.965397     0.166357
           21     -0.54778     0.989221
           22   -0.0457706     0.143669
           23     0.863731     0.508103
           24      0.97095    -0.201956
           25     0.410058    -0.827986
           26     0.626571    -0.964115
           27     0.552096    -0.957725
           28     0.426846    -0.776446
           29    -0.454497     -0.49727
           30    -0.732392    -0.893041
           31    -0.533686    -0.613414
           32    -0.832092    -0.681482
           33    -0.894478    -0.092985
           34    -0.663351     0.144877
            1    -0.754701    -0.660164
            2     0.459299    -0.337669
            3      0.35676    -0.803571
            4   -0.0417242   -0.0114806
            5   -0.0564068     0.169834
            6     0.154538      0.68001
            7     0.233619     0.160937
            8     0.303909    -0.572297
            9   -0.0135474     0.512095
           10     0.312037     0.810967
           11     0.531528     0.940534
           12     0.837711     0.879751
           13    -0.257007     0.673133
           14     -0.75808     0.360274
           15    -0.870714     0.509307
           16     0.372012    -0.261299
           17   0.00371557    -0.951432
           18    -0.484213    -0.521464
           19    -0.441534    0.0917158
           20    -0.965397     0.166357
           21     -0.54778     0.989221
           22   -0.0457706     0.143669
           23     0.863731     0.508103
           24      0.97095    -0.201956
           25     0.410058    -0.827986
           26     0.626571    -0.964115
           27     0.552096    -0.957725
           28     0.426846    -0.776446
           29    -0.454497     -0.49727
           30    -0.732392    -0.893041
           31    -0.533686    -0.613414
           32    -0.832092    -0.681482
           33    -0.894478    -0.092985
           34    -0.663351     0.144877
            1    -0.754701    -0.660164
            2     0.459299    -0.337669
            3      0.35676    -0.803571
            4   -0.0417242   -0.0114806
            5   -0.0564068     0.169834
            6     0.154538      0.68001
            7     0.233619     0.160937
            8     0.303909    -0.572297
            9   -0.0135474     0.512095
           10     0.312037     0.810967
           11     0.531528     0.940534
           12     0.837711     0.879751
           13    -0.257007     0.673133
           14     -0.75808     0.360274
           15    -0.894478    -0.092985
           16     0.372012    -0.261299
           17   0.00371557    -0.951432
           18    -0.484213    -0.521464
           19    -0.441534    0.0917158
           20    -0.965397     0.166357
           21    -0.870714     0.509307
           22     -0.54778     0.989221
           23   -0.0457706     0.143669
           24     0.863731     0.508103
           25      0.97095    -0.201956
           26     0.410058    -0.827986
           27     0.626571    -0.964115
           28     0.552096    -0.957725
           29     0.426846    -0.776446
           30    -0.454497     -0.49727
           31    -0.732392    -0.893041
           32    -0.533686    -0.613414
           33    -0.663351     0.144877
           34    -0.832092    -0.681482
            1    -0.754701    -0.660164
            2     0.459299    -0.337669
            3      0.35676    -0.803571
            4   -0.0417242   -0.0114806
            5   -0.0564068     0.169834
            6     0.154538      0.68001
            7     0.233619     0.160937
            8     0.303909    -0.572297
            9     0.372012    -0.261299
           10   0.00371557    -0.951432
           11    -0.441534    0.0917158
           12    -0.484213    -0.521464
           13   -0.0457706     0.143669
           14    -0.965397     0.166357
           15     -0.75808     0.360274
           16     0.312037     0.810967
           17     0.531528     0.940534
           18     0.837711     0.879751
           19   -0.0135474     0.512095
           20    -0.870714     0.509307
           21     -0.54778     0.989221
           22    -0.257007     0.673133
           23     0.863731     0.508103
           24      0.97095    -0.201956
           25     0.626571    -0.964115
           26     0.410058    -0.827986
           27     0.552096    -0.957725
           28     0.426846    -0.776446
           29    -0.454497     -0.49727
           30    -0.732392    -0.893041
           31    -0.533686    -0.613414
           32    -0.832092    -0.681482
           33    -0.894478    -0.092985
           34    -0.663351     0.144877
            1    -0.754701    -0.660164
            2     0.459299    -0.337669
            3      0.35676    -0.803571
            4   -0.0417242   -0.0114806
            5   -0.0564068     0.169834
            6     0.154538      0.68001
            7     0.233619     0.160937
            8     0.303909    -0.572297
            9     0.372012    -0.261299
           10   0.00371557    -0.951432
           11    -0.484213    -0.521464
           12    -0.441534    0.0917158
           13   -0.0457706     0.143669
           14    -0.965397     0.166357
           15     -0.75808     0.360274
           16     0.312037     0.810967
           17     0.531528     0.940534
           18     0.837711     0.879751
           19   -0.0135474     0.512095
           20    -0.870714     0.509307
           21     -0.54778     0.989221
           22    -0.257007     0.673133
           23     0.863731     0.508103
           24      0.97095    -0.201956
           25     0.626571    -0.964115
           26     0.410058    -0.827986
           27     0.552096    -0.957725
           28     0.426846    -0.776446
           29    -0.454497     -0.49727
           30    -0.732392    -0.893041
           31    -0.533686    -0.613414
           32    -0.832092    -0.681482
           33    -0.894478    -0.092985
           34    -0.663351     0.144877
            1    -0.754701    -0.660164
            2     0.459299    -0.337669
            3      0.35676    -0.803571
            4   -0.0417242   -0.0114806
            5   -0.0564068     0.169834
            6     0.154538      0.68001
            7     0.233619     0.160937
            8     0.303909    -0.572297
            9     0.372012    -0.261299
           10   0.00371557    -0.951432
           11    -0.484213    -0.521464
           12    -0.441534    0.0917158
           13   -0.0135474     0.512095
           14     0.312037     0.810967
           15     0.531528     0.940534
           16     0.837711     0.879751
           17    -0.257007     0.673133
           18     -0.75808     0.360274
           19    -0.870714     0.509307
           20    -0.965397     0.166357
           21     -0.54778     0.989221
           22   -0.0457706     0.143669
           23     0.863731     0.508103
           24      0.97095    -0.201956
           25     0.410058    -0.827986
           26     0.626571    -0.964115
           27     0.552096    -0.957725
           28     0.426846    -0.776446
           29    -0.454497     -0.49727
           30    -0.732392    -0.893041
           31    -0.533686    -0.613414
           32    -0.832092    -0.681482
           33    -0.894478    -0.092985
           34    -0.663351     0.144877
            1    -0.754701    -0.660164
            2     0.459299    -0.337669
            3      0.35676    -0.803571
            4   -0.0417242   -0.0114806
            5   -0.0564068     0.169834
            6     0.154538      0.68001
            7     0.233619     0.160937
            8     0.303909    -0.572297
            9     0.372012    -0.261299
           10   0.00371557    -0.951432
           11    -0.484213    -0.521464
           12    -0.441534    0.0917158
           13   -0.0135474     0.512095
           14     0.312037     0.810967
           15     0.531528     0.940534
           16     0.837711     0.879751
           17    -0.257007     0.673133
           18     -0.75808     0.360274
           19    -0.965397     0.166357
           20    -0.870714     0.509307
           21     -0.54778     0.989221
           22   -0.0457706     0.143669
           23     0.863731     0.508103
           24      0.97095    -0.201956
           25     0.410058    -0.827986
           26     0.626571    -0.964115
           27     0.552096    -0.957725
           28     0.426846    -0.776446
           29    -0.454497     -0.49727
           30    -0.732392    -0.893041
           31    -0.533686    -0.613414
           32    -0.832092    -0.681482
           33    -0.894478    -0.092985
           34    -0.663351     0.144877
            1    -0.754701    -0.660164
            2     0.459299    -0.337669
            3      0.35676    -0.803571
            4   -0.0417242   -0.0114806
            5   -0.0564068     0.169834
            6     0.312037     0.810967
            7     0.531528     0.940534
            8     0.837711     0.879751
            9     0.154538      0.68001
           10     0.233619     0.160937
           11     0.303909    -0.572297
           12     0.372012    -0.261299
           13   0.00371557    -0.951432
           14    -0.484213    -0.521464
           15    -0.441534    0.0917158
           16   -0.0457706     0.143669
           17   -0.0135474     0.512095
           18    -0.257007     0.673133
           19     -0.75808     0.360274
           20    -0.965397     0.166357
           21    -0.870714     0.509307
           22     -0.54778     0.989221
           23     0.863731     0.508103
           24      0.97095    -0.201956
           25     0.410058    -0.827986
           26     0.626571    -0.964115
           27     0.552096    -0.957725
           28     0.426846    -0.776446
           29    -0.454497     -0.49727
           30    -0.732392    -0.893041
           31    -0.533686    -0.613414
           32    -0.832092    -0.681482
           33    -0.894478    -0.092985
           34    -0.663351     0.144877
            1    -0.754701    -0.660164
            2     0.459299    -0.337669
            3      0.35676    -0.803571
            4   -0.0417242   -0.0114806
            5   -0.0564068     0.169834
            6     0.312037     0.810967
